City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Manono,CD,71.01,broken clouds,-7.3,27.4167,Hotel hewa bora
2,Punta Arenas,CL,53.71,few clouds,-53.15,-70.9167,Hotel Hain
5,Busselton,AU,68.04,overcast clouds,-33.65,115.3333,Observatory Guest House
6,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
7,Kapaa,US,67.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Grindavik,IS,30.15,scattered clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
12,Nanortalik,GL,6.49,clear sky,60.1432,-45.2371,Hotel Kap Farvel
13,Ushuaia,AR,47.82,light rain,-54.8,-68.3,Albatross Hotel
15,Mar Del Plata,AR,87.82,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
16,Cape Town,ZA,70.09,scattered clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
17,Waingapu,ID,78.53,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
18,Ribeira Grande,PT,63.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
19,Along,IN,50.04,overcast clouds,28.1667,94.7667,Hotel West
21,Bredasdorp,ZA,74.52,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
24,Wanaka,NZ,65.1,scattered clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
25,Mataura,NZ,56.48,clear sky,-46.1927,168.8643,Ellie's Villa
26,Iguai,BR,88.16,overcast clouds,-14.7564,-40.0892,CadHotel
27,Shahr-E Babak,IR,42.67,clear sky,30.1165,55.1186,Duna Ecolodge
28,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
31,Coolum Beach,AU,77.11,overcast clouds,-26.5333,153.1,Coolum Beach Resort
32,Puerto Ayora,EC,82.36,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
33,Port Lincoln,AU,62.11,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
34,Hilo,US,67.24,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
35,Hithadhoo,MV,82.54,overcast clouds,-0.6,73.0833,Scoop Guest House
36,Jamestown,US,42.39,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
38,Umm Lajj,SA,70.84,scattered clouds,25.0213,37.2685,Moon light Furnished Units
40,New Norfolk,AU,53.1,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
43,Balkhash,KZ,11.48,overcast clouds,46.844,74.9804,Family
44,Clyde,US,41.38,clear sky,41.3042,-82.9752,Red Roof Inn Clyde
45,Rikitea,PF,77.29,overcast clouds,-23.1203,-134.9692,People ThankYou
46,Karratha,AU,82.02,broken clouds,-20.7377,116.8463,ibis Styles Karratha
47,Bull Savanna,JM,80.55,scattered clouds,17.8868,-77.5902,Big Red's
49,Butaritari,KI,80.85,light rain,3.0707,172.7902,Isles Sunset Lodge
50,Sao Filipe,CV,74.52,light rain,14.8961,-24.4956,Hotel Xaguate
51,Ponta Do Sol,PT,68.0,scattered clouds,32.6667,-17.1,Hotel do Campo
52,Tatawin,TN,59.88,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
53,Sorland,NO,28.26,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
54,Saint George,US,39.67,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
55,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
56,Tornio,FI,8.62,light rain,65.8481,24.1466,Park Hotel Tornio
57,Lima,PE,77.4,light rain,-12.0432,-77.0282,Gran Hotel Bolivar Lima
58,Blagnac,FR,48.45,few clouds,43.6328,1.394,Radisson Blu Hotel Toulouse Airport
59,Alamosa,US,15.78,scattered clouds,37.4695,-105.87,Best Western Alamosa Inn
61,Stornoway,GB,48.16,few clouds,58.2093,-6.3865,Caladh Inn
62,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
63,Isla Mujeres,MX,84.25,light rain,21.2311,-86.731,Hotel La Joya Isla Mujeres
64,Biarritz,FR,56.21,clear sky,43.4801,-1.5556,Hôtel de l'ocean
65,Severo-Kurilsk,RU,26.85,overcast clouds,50.6789,156.125,Kak Doma
67,Atuona,PF,78.1,clear sky,-9.8,-139.0333,Villa Enata
69,Inhambane,MZ,82.38,light rain,-23.865,35.3833,Oceano
71,Nelson Bay,AU,68.11,broken clouds,-32.7167,152.15,Mantra Nelson Bay
72,Arraial Do Cabo,BR,85.96,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
74,Mahajanga,MG,82.42,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
75,Kodiak,US,35.11,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
76,Gambela,ET,89.08,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
77,Ahipara,NZ,66.51,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
78,Pisco,PE,75.25,light rain,-13.7,-76.2167,Hotel San Isidro Oficial
79,Kavieng,PG,78.96,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
80,Carnarvon,AU,80.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
82,Vila Velha,BR,82.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
83,Xining,CN,14.0,light rain,36.6167,101.7667,Super Leisure Hotel
86,Hermanus,ZA,68.81,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
87,Pastavy,BY,27.5,overcast clouds,55.1168,26.8326,Mini gostinitca Shirki
88,Chuy,UY,84.2,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
89,Iqaluit,CA,6.53,scattered clouds,63.7506,-68.5145,Frobisher Inn
90,Komsomolskiy,UZ,35.02,scattered clouds,40.4272,71.7189,Ikathouse
91,Bluff,NZ,56.8,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
94,Nuuk,GL,9.21,clear sky,64.1835,-51.7216,Vandrehuset
95,Tasiilaq,GL,15.96,clear sky,65.6145,-37.6368,The Red House
96,Hasaki,JP,27.0,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
98,Las Vegas,US,45.28,overcast clouds,36.175,-115.1372,Plaza Hotel & Casino
99,Lakes Entrance,AU,55.58,scattered clouds,-37.8811,147.981,The Esplanade Resort & Spa
100,Ilulissat,GL,3.22,clear sky,69.2167,-51.1,Hotel Arctic
101,Kiama,AU,64.38,scattered clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
