City_ID,City_ID,Country,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,0,US,Barrow,71.2906,-156.7887,-20.18,69,0,6.91,broken clouds
1,1,CD,Manono,-7.3,27.4167,71.01,96,100,3.06,broken clouds
2,2,CL,Punta Arenas,-53.15,-70.9167,53.71,66,75,10.36,few clouds
3,3,RU,Beringovskiy,63.05,179.3167,-2.2,84,43,19.33,scattered clouds
4,4,CA,Yellowknife,62.456,-114.3525,-35.72,78,40,6.91,broken clouds
5,5,AU,Busselton,-33.65,115.3333,68.04,52,99,20.89,overcast clouds
6,6,TO,Vaini,-21.2,-175.2,73.56,100,40,1.14,scattered clouds
7,7,US,Kapaa,22.0752,-159.319,67.12,83,100,1.01,scattered clouds
8,8,IS,Grindavik,63.8424,-22.4338,30.15,63,40,11.5,scattered clouds
9,9,RU,Khatanga,71.9667,102.5,-38.51,98,50,1.52,clear sky
10,10,RU,Evensk,61.95,159.2333,19.49,50,90,21.07,few clouds
11,11,PH,Binucayan,8.25,125.7167,70.93,99,100,1.3,few clouds
12,12,GL,Nanortalik,60.1432,-45.2371,6.49,76,6,15.39,clear sky
13,13,AR,Ushuaia,-54.8,-68.3,47.82,65,75,20.71,light rain
14,14,RU,Kichera,55.9375,110.0997,-12.53,87,30,4.7,scattered clouds
15,15,AR,Mar Del Plata,-38.0023,-57.5575,87.82,50,0,11.99,scattered clouds
16,16,ZA,Cape Town,-33.9258,18.4232,70.09,89,75,1.01,scattered clouds
17,17,ID,Waingapu,-9.6567,120.2641,78.53,84,39,8.66,broken clouds
18,18,PT,Ribeira Grande,38.5167,-28.7,63.0,67,40,12.66,few clouds
19,19,IN,Along,28.1667,94.7667,50.04,86,50,1.36,overcast clouds
20,20,US,Albany,42.6001,-73.9662,41.85,73,98,5.01,light rain
21,21,ZA,Bredasdorp,-34.5322,20.0403,74.52,64,24,14.97,broken clouds
22,22,RU,Lavrentiya,65.5833,-171.0,-1.98,77,1,17.36,overcast clouds
23,23,RU,Tiksi,71.6872,128.8694,-7.1,100,100,6.35,light rain
24,24,NZ,Wanaka,-44.7,169.15,65.1,92,100,4.25,scattered clouds
25,25,NZ,Mataura,-46.1927,168.8643,56.48,98,100,5.79,clear sky
26,26,BR,Iguai,-14.7564,-40.0892,88.16,51,32,4.56,overcast clouds
27,27,IR,Shahr-E Babak,30.1165,55.1186,42.67,45,0,3.04,clear sky
28,28,BB,Bathsheba,13.2167,-59.5167,84.81,65,40,16.11,few clouds
29,29,CA,Hay River,60.8156,-115.7999,-20.22,76,20,3.44,overcast clouds
30,30,BW,Lehututu,-23.9667,21.8667,80.29,53,71,10.54,scattered clouds
31,31,AU,Coolum Beach,-26.5333,153.1,77.11,98,100,1.01,overcast clouds
32,32,EC,Puerto Ayora,-0.7393,-90.3518,82.36,73,49,8.63,scattered clouds
33,33,AU,Port Lincoln,-34.7333,135.8667,62.11,73,83,10.33,scattered clouds
34,34,US,Hilo,19.7297,-155.09,67.24,79,75,6.91,scattered clouds
35,35,MV,Hithadhoo,-0.6,73.0833,82.54,70,51,9.13,overcast clouds
36,36,US,Jamestown,42.097,-79.2353,42.39,48,20,12.66,overcast clouds
37,37,RU,Kedrovyy,56.1667,91.8167,-8.14,98,69,3.6,clear sky
38,38,SA,Umm Lajj,25.0213,37.2685,70.84,45,0,3.38,scattered clouds
39,39,GL,Upernavik,72.7868,-56.1549,-5.53,65,100,5.93,overcast clouds
40,40,AU,New Norfolk,-42.7826,147.0587,53.1,65,59,3.0,light rain
41,41,RU,Saskylakh,71.9167,114.0833,-28.88,100,33,2.89,overcast clouds
42,42,CA,Fort Nelson,58.8053,-122.7002,-22.41,76,100,2.3,scattered clouds
43,43,KZ,Balkhash,46.844,74.9804,11.48,82,91,10.45,overcast clouds
44,44,US,Clyde,41.3042,-82.9752,41.38,92,100,11.16,clear sky
45,45,PF,Rikitea,-23.1203,-134.9692,77.29,75,57,6.35,overcast clouds
46,46,AU,Karratha,-20.7377,116.8463,82.02,75,100,13.38,broken clouds
47,47,JM,Bull Savanna,17.8868,-77.5902,80.55,58,0,11.34,scattered clouds
48,48,CA,Swan River,52.1058,-101.2676,-20.31,63,27,12.66,light rain
49,49,KI,Butaritari,3.0707,172.7902,80.85,82,93,17.74,light rain
50,50,CV,Sao Filipe,14.8961,-24.4956,74.52,72,0,15.75,light rain
51,51,PT,Ponta Do Sol,32.6667,-17.1,68.0,80,100,5.97,scattered clouds
52,52,TN,Tatawin,32.9297,10.4518,59.88,47,72,15.75,clear sky
53,53,NO,Sorland,67.667,12.6934,28.26,56,100,15.41,overcast clouds
54,54,US,Saint George,37.1041,-113.5841,39.67,28,75,4.0,few clouds
55,55,MY,Georgetown,5.4112,100.3354,82.33,87,20,2.3,few clouds
56,56,FI,Tornio,65.8481,24.1466,8.62,95,100,5.99,light rain
57,57,PE,Lima,-12.0432,-77.0282,77.4,83,0,1.99,light rain
58,58,FR,Blagnac,43.6328,1.394,48.45,86,100,4.61,few clouds
59,59,US,Alamosa,37.4695,-105.87,15.78,86,100,8.05,scattered clouds
60,60,RU,Arkhara,49.4212,130.0842,-24.27,100,63,3.31,light rain
61,61,GB,Stornoway,58.2093,-6.3865,48.16,94,75,3.0,few clouds
62,62,RE,Saint-Philippe,-21.3585,55.7679,80.19,93,100,31.14,scattered clouds
63,63,MX,Isla Mujeres,21.2311,-86.731,84.25,78,1,15.21,light rain
64,64,FR,Biarritz,43.4801,-1.5556,56.21,76,0,5.75,clear sky
65,65,RU,Severo-Kurilsk,50.6789,156.125,26.85,88,96,7.2,overcast clouds
66,66,AZ,Qovlar,40.948,45.735,49.05,46,41,4.97,few clouds
67,67,PF,Atuona,-9.8,-139.0333,78.1,78,64,17.36,clear sky
68,68,RU,Talnakh,69.4865,88.3972,-0.8,98,96,6.49,clear sky
69,69,MZ,Inhambane,-23.865,35.3833,82.38,78,20,9.22,light rain
70,70,GL,Sisimiut,66.9395,-53.6735,0.39,80,95,17.18,scattered clouds
71,71,AU,Nelson Bay,-32.7167,152.15,68.11,89,100,1.99,broken clouds
72,72,BR,Arraial Do Cabo,-22.9661,-42.0278,85.96,74,20,14.97,overcast clouds
73,73,US,Fairbanks,64.8378,-147.7164,-34.64,98,0,0.0,clear sky
74,74,MG,Mahajanga,-15.7167,46.3167,82.42,78,20,10.36,scattered clouds
75,75,US,Kodiak,57.79,-152.4072,35.11,93,100,4.61,light rain
76,76,ET,Gambela,8.25,34.5833,89.08,24,100,3.02,scattered clouds
77,77,NZ,Ahipara,-35.1667,173.1667,66.51,92,100,9.98,scattered clouds
78,78,PE,Pisco,-13.7,-76.2167,75.25,64,0,9.22,light rain
79,79,PG,Kavieng,-2.5744,150.7967,78.96,85,100,13.24,scattered clouds
80,80,AU,Carnarvon,-24.8667,113.6333,80.67,74,85,5.75,scattered clouds
81,81,CA,Norman Wells,65.282,-126.8329,-34.56,61,75,2.3,scattered clouds
82,82,BR,Vila Velha,-20.3297,-40.2925,82.35,81,75,8.05,broken clouds
83,83,CN,Xining,36.6167,101.7667,14.0,65,41,2.26,light rain
84,84,RU,Dikson,73.5069,80.5464,-7.28,99,98,11.74,light rain
85,85,GA,Gamba,-2.65,10.0,79.83,79,42,6.26,light rain
86,86,ZA,Hermanus,-34.4187,19.2345,68.81,77,14,20.22,broken clouds
87,87,BY,Pastavy,55.1168,26.8326,27.5,97,100,6.49,overcast clouds
88,88,UY,Chuy,-33.6971,-53.4616,84.2,47,1,10.78,scattered clouds
89,89,CA,Iqaluit,63.7506,-68.5145,6.53,84,40,17.0,scattered clouds
90,90,UZ,Komsomolskiy,40.4272,71.7189,35.02,75,100,2.3,scattered clouds
91,91,NZ,Bluff,-46.6,168.3333,56.8,83,100,17.78,clear sky
92,92,TD,Ati,13.2154,18.3353,74.21,12,8,10.11,few clouds
93,93,,Henties Bay,-22.116,14.2845,72.86,76,15,8.66,scattered clouds
94,94,GL,Nuuk,64.1835,-51.7216,9.21,52,75,11.5,clear sky
95,95,GL,Tasiilaq,65.6145,-37.6368,15.96,77,100,9.19,clear sky
96,96,JP,Hasaki,35.7333,140.8333,27.0,37,2,2.91,overcast clouds
97,97,GL,Qaanaaq,77.484,-69.3632,-23.4,65,30,8.61,overcast clouds
98,98,US,Las Vegas,36.175,-115.1372,45.28,21,0,21.85,overcast clouds
99,99,AU,Lakes Entrance,-37.8811,147.981,55.58,77,83,9.19,scattered clouds
100,100,GL,Ilulissat,69.2167,-51.1,3.22,85,75,21.85,clear sky
101,101,AU,Kiama,-34.6833,150.8667,64.38,77,100,5.01,scattered clouds
102,102,NG,Kishi,9.0833,3.85,90.95,9,99,3.15,few clouds
103,103,RU,Nikolskoye,59.7035,30.7861,22.89,100,96,1.34,broken clouds
104,104,PF,Faanui,-16.4833,-151.75,80.56,76,21,19.62,overcast clouds
105,105,TM,Baherden,38.4362,57.4316,50.45,36,0,7.4,broken clouds
