City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Barrow,71.2906,-156.7887,-20.18,69,0,6.91,US,2022-02-02 17:22:47
1,Manono,-7.3,27.4167,71.01,96,100,3.06,CD,2022-02-02 17:22:54
2,Punta Arenas,-53.15,-70.9167,53.71,66,75,10.36,CL,2022-02-02 17:22:55
3,Beringovskiy,63.05,179.3167,-2.2,84,43,19.33,RU,2022-02-02 17:22:55
4,Yellowknife,62.456,-114.3525,-35.72,78,40,6.91,CA,2022-02-02 17:19:10
5,Busselton,-33.65,115.3333,68.04,52,99,20.89,AU,2022-02-02 17:20:12
6,Vaini,-21.2,-175.2,73.56,100,40,1.14,TO,2022-02-02 17:22:56
7,Kapaa,22.0752,-159.319,67.12,83,100,1.01,US,2022-02-02 17:22:46
8,Grindavik,63.8424,-22.4338,30.15,63,40,11.5,IS,2022-02-02 17:22:57
9,Khatanga,71.9667,102.5,-38.51,98,50,1.52,RU,2022-02-02 17:22:57
10,Evensk,61.95,159.2333,19.49,50,90,21.07,RU,2022-02-02 17:22:58
11,Binucayan,8.25,125.7167,70.93,99,100,1.3,PH,2022-02-02 17:22:59
12,Nanortalik,60.1432,-45.2371,6.49,76,6,15.39,GL,2022-02-02 17:22:59
13,Ushuaia,-54.8,-68.3,47.82,65,75,20.71,AR,2022-02-02 17:19:55
14,Kichera,55.9375,110.0997,-12.53,87,30,4.7,RU,2022-02-02 17:23:00
15,Mar Del Plata,-38.0023,-57.5575,87.82,50,0,11.99,AR,2022-02-02 17:21:46
16,Cape Town,-33.9258,18.4232,70.09,89,75,1.01,ZA,2022-02-02 17:19:02
17,Waingapu,-9.6567,120.2641,78.53,84,39,8.66,ID,2022-02-02 17:23:01
18,Ribeira Grande,38.5167,-28.7,63.0,67,40,12.66,PT,2022-02-02 17:23:02
19,Along,28.1667,94.7667,50.04,86,50,1.36,IN,2022-02-02 17:23:02
20,Albany,42.6001,-73.9662,41.85,73,98,5.01,US,2022-02-02 17:18:17
21,Bredasdorp,-34.5322,20.0403,74.52,64,24,14.97,ZA,2022-02-02 17:23:03
22,Lavrentiya,65.5833,-171.0,-1.98,77,1,17.36,RU,2022-02-02 17:23:04
23,Tiksi,71.6872,128.8694,-7.1,100,100,6.35,RU,2022-02-02 17:19:21
24,Wanaka,-44.7,169.15,65.1,92,100,4.25,NZ,2022-02-02 17:23:04
25,Mataura,-46.1927,168.8643,56.48,98,100,5.79,NZ,2022-02-02 17:23:05
26,Iguai,-14.7564,-40.0892,88.16,51,32,4.56,BR,2022-02-02 17:23:05
27,Shahr-E Babak,30.1165,55.1186,42.67,45,0,3.04,IR,2022-02-02 17:23:06
28,Bathsheba,13.2167,-59.5167,84.81,65,40,16.11,BB,2022-02-02 17:23:06
29,Hay River,60.8156,-115.7999,-20.22,76,20,3.44,CA,2022-02-02 17:23:07
30,Lehututu,-23.9667,21.8667,80.29,53,71,10.54,BW,2022-02-02 17:23:08
31,Coolum Beach,-26.5333,153.1,77.11,98,100,1.01,AU,2022-02-02 17:23:08
32,Puerto Ayora,-0.7393,-90.3518,82.36,73,49,8.63,EC,2022-02-02 17:20:30
33,Port Lincoln,-34.7333,135.8667,62.11,73,83,10.33,AU,2022-02-02 17:22:52
34,Hilo,19.7297,-155.09,67.24,79,75,6.91,US,2022-02-02 17:22:42
35,Hithadhoo,-0.6,73.0833,82.54,70,51,9.13,MV,2022-02-02 17:23:09
